school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Northside High School,25,299,600,405,67.5,20.9,20.0,19.9,22.3,20.9,45,97.31,58.15,1.7
Northview High School,36,996,2373,2098,88.4,27.5,27.8,27.1,28.5,26.1,75,97.98,80.5,0.7
Northwest Whitfield County High School,13,133,211,150,71.1,20.4,19.0,20.5,21.7,19.8,22,94.9,67.08,0.8
Northwestern Middle School,6,18,21,21,100.0,,,,,,,,,
Oakwood High School,5,10,10,,,,,,,,,,,
Oconee County High School,26,537,1057,986,93.3,23.3,22.5,21.5,25.2,23.5,41,99.41,76.58,
Odyssey School,,,,,,,,,,,,4.15,,
Oglethorpe County High School,8,82,155,85,54.8,22.4,21.9,20.6,24.7,22.1,15,91.67,37.82,1.7
Ola High School,26,319,661,475,71.9,19.3,18.1,18.9,20.3,19.5,57,94.94,42.86,0.6
Ola Middle School,2,,,,,,,,,,,,,
Old Coretta Scott King Young Women's Academy High School,11,58,72,9,12.5,16.3,15.9,15.6,16.9,16.5,22,,,
Osborne High School,20,283,483,227,47.0,18.0,16.3,17.5,19.2,18.3,44,78.93,36.3,3.8
Osborne Middle School,15,45,96,85,88.5,,,,,,,,,
Palmer Middle School,8,,,,,,,,,,,,,
Parkview High School,31,1138,2746,2170,79.0,23.5,22.7,21.9,25.8,23.3,75,88.7,59.17,2.8
Pataula Charter Academy,1,,,,,,,,,,,95.0,73.68,
Paul Duke STEM High School,28,529,1441,1144,79.4,24.8,23.9,25.3,24.2,25.3,12,90.42,61.84,1.4
Paulding County High School,19,177,331,261,78.9,21.1,19.6,19.9,22.6,22.2,28,91.87,53.14,2.5
Peach County Achievement Academy,,,,,,,,,,,,53.57,,10.3
Peach County High School,14,112,154,95,61.7,17.9,16.2,17.6,18.7,18.8,20,91.67,48.39,1.1
Peachtree Ridge High School,29,1080,2475,1940,78.4,22.2,21.3,21.6,23.4,21.8,62,94.79,63.9,0.9
Pearson Middle School,3,,,,,,,,,,,,,
Pebblebrook High School,23,277,407,242,59.5,17.5,15.6,16.0,20.4,17.4,36,75.72,38.91,6.1
Pelham High School,7,78,134,6,4.5,15.6,15.0,16.2,16.0,14.8,12,93.4,30.61,2.6
Pepperell High School,15,119,242,111,45.9,19.8,18.3,19.4,21.3,19.8,28,94.59,57.95,
Performance Learning Center,,,,,,,,,,,,8.48,,12.6
Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,,,,,,,,,,,,69.57,2.75,11.2
Perry High School,18,271,458,378,82.5,21.5,18.8,21.3,22.7,22.9,30,94.78,57.35,1.1
